INT	STRING
INT	STRING
10	Ğã quên Thung 10b¡t ğ¥u MÕo Bào
11	Quái v§t MÕo Bào Li­u! ! !
12	Quái v§t th§t sñ MÕo Bào Li­u! ! !
13	Quái v§t Hñu MÕo Bào Li­u! ! !
14	Quái v§t 14Hñu MÕo Bào Li­u! ! !
15	Ğß¶ng này là ta Khai, ThØ Thø là ta Tài, nªu mu¯n t× nay v« sau Quá, lßu lÕi Mãi Lµ Tài!
16	Nhßşc Nha Bång nØa B¤t Tñ, mµt ğao mµt cái, Quän Sát m£c k® Mai!
17	Ğ¬ mÕng lÕi! ! !
18	Toàn bµ không ğßşc nhúc nhích, ti«n tài ngoài thân V§t, M®nh Th¸ chính mình Ğích!
19	ĞÑng lÕi! Ğem ngß½i Ğích Ti«n Hoà trang sÑc Ğô cho ta giao ra ğây!
20	Cß¾p bóc! B¤t thành th§t Ği¬m Nhi ta ngay cä S¡c cùng nhau Kiªp!
21	Ngã Tiên Kiªp Cá S¡c.
22	Mu¯n biªt bäo tàng Ğích bí m§t? Døng bän lînh cüa ngß½i Hoà ta nói chuy®n Ba.
23	Làm nhß mµt cái chuyên nghi®p Ğích mã t£c, thü kh¦u nhß bình Th¸ c½ bän Ğích chÑc nghi®p ğÕo ğÑc.
24	Tß·ng ğánh giá mµt chút Ma? Lai Lai Lai, nhìn xem b±n t÷a Ğích võ công nhß thª nào.
25	Häi! Nhî chÕy không ğßşc Li­u!
26	Hoà Ngã Thß½ng bäo b¯i, ngß½i ği chªt ği!
27	Bäo b¯i là ta ĞÕo t¾i, chï sş Nhî Mµt b±n sñ c¥m lÕi KhÑ!
28	Bäo tàng là chúng ta chü nhân Ğích, Nhî m½ tß·ng l¤y ği!
29	Häi! LÕi t¾i næa mµt cái ch¸u chªt Ğích!
30	M½ tß·ng l¤y ği bäo b¯i cüa ta!
31	Ch¸u chªt ği! Nhî này ĞÕo MÕc T£c!
32	A A A! Xem chiêu!
33	Mau t¾i ch¸u chªt Ba!
34	Tát Mã, Ngã biªt Ngã thñc xin l²i Nhî. Ğ¯i v¾i ngß½i vçn là t¾i g£p Nhî Li­u!
35	Tát L² nh¤t ğ¸nh là B¸ cái gì tên ğã kh¯ng chª, hi®n tÕi Thß½ng S½n lang nhân Môn g£p phäi Trß¾c th§t l¾n Ğích nguy c½!
36	Chï có Nhî! Tát Mã! Nång cÑu v¾t cä Thß½ng S½n lang nhân bµ lÕc! V¸ này anh hùng, $N, Hµi trş giúp cüa ngß½i!
37	A, $N, hi®n tÕi ta là Afi Li­u, không phäi qu§n chúa Li­u.
38	$N, ği thôi, chúng ta hi®n tÕi phäi ği Truy Phong Lînh.
39	Nguy­n Thành! Ta là Tiêu Tß¶ng! Ngã t¾i tìm ngß½i Li­u!
40	Ngã hi®n tÕi không phäi qu§n chúa Li­u, v« sau cûng không phäi Li­u! Nguy­n Thành! Ta yêu ngß½i!
41	Ca ca, Ngã Yêu ği theo $NğÕi anh hùng v« nhà LÕp, Nhî cûng mu¯n s¾m mµt chút tr· v« A.
42	Ta, Ngã ğã v« r°i. Ca ca Thuyªt h¡n là nam tØ hán, Yêu hoàn thành nhi®m vø m¾i có th¬ tr· v«.
43	A, $N, b¢ng hæu cüa ta. Chúng ta hi®n tÕi tñu ra Phát Ba.
44	T× t×, ta nghî tß·ng tßşng, chúng ta hÆn là ği phía trái vçn là Vãng Hæu……
45	Ngña cüa ta Hoa dính vào bùn ğ¤t! Tr¶i Õ, Giá ğ¯i v¾i mµt cái kÜ sî mà nói Thái B¤t th¬ di®n Li­u!
46	Chúng ta nhß v§y T¦u Ng§n nhàm chán Ğích, Ngã có th¬ cho ngß½i nói mµt chút Frederick|Phì Ğ£c Li®t ğÕi ğª Ğích chuy®n xßa.
47	Ğßşc r°i, Ngã không nói Li­u. Ği«u ki®n là ngß½i không c¥n Tái nhån lÕi cüa ngß½i mày.
48	A, ta nghî chúng ta ğã t¾i r°i. Cüa ta lão b¢ng hæu, Th¦m M£c Tam, không phäi · bên kia Ma!
49	Cám ½n cüa ngß½i trş giúp, Nhî Tß¾ng nh§n ğßşc mµt v¸ Nß¾c ĞÑc kÜ sî Ğích vînh vi­n Ğích tôn kính!
50	Ngã gi¯ng nhß ğã thành công Ğích thoát ly Li­u thân th¬ cüa chính mình……$N, Ngã thành công Li­u.
51	Nghe nói b¯n mß½i nåm trß¾c, chúng ta H¡c Miêu Ğích Xa Hß½ng công chúa cûng t×ng tiªn vào Quá Hàn Ng÷c Ğáp……
52	Hi®n tÕi, Ngã cûng mu¯n Hoà Tha l¤y mµt Li­u……
53	TÕm bi®t Li­u, Dß½ng ğÕi ca, BÕch tÖ tÖ. TÕm bi®t Li­u, b¢ng hæu cüa ta hòa thân Nhân.
54	$N, chúng ta ği nhanh ği, Ngã Häo Tß·ng s¾m mµt chút nhìn th¤y TØ Khâm ca ca Ni.
55	M®t möi quá A, còn có r¤t xa A?
56	Ngß¶i ta ği không ğ£ng LÕp.
57	TØ Khâm ca ca, TØ Khâm ca ca! Ta là Ung Dung A, Ngã r¯t cøc tìm ğßşc Nhî Li­u!
58	B±n S½n Nhân ğã th¶i gian r¤t lâu không có ra tay Li­u, ngß½i ğã Môn ğªn ğây cûng t¯t, giúp ta hoÕt ğµng hoÕt ğµng gân c¯t.
59	Di……xem ra các ngß½i m¤y còn không bình thß¶ng A, ta phäi còn th§t sñ ğ¯i ğãi Li­u.
60	Là các ngß½i BÑc cüa ta……xem chß·ng!
61	Ách……cÑ nhß v§y ğã xong Ma? B¤t, ta còn s¨ · Trân Lung KÏ Cøc Trung tái sinh Ğích! Ha ha ha ha……
62	Th§t là có không sş chªt Ğích!
63	Ğªn ğây m¤y Ng§n Giác Nhi, m÷i ngß¶i chÕy tr¯i chªt A!
64	T¤t cä ğ«u là phª v§t, còn phäi Ngã tñ mình ğµng thü!
65	Nha Nha Cá Phôi Ğích, lão tØ chï biªt NguÜ Trang T¯ng Binh Mµt kªt cøc t¯t!
66	Con Môn, cho ta ğÑng væng, ğÑng væng……lão tØ Tiên Tri®t Li­u
67	Không xong! Giá tr§n Ng§t Thái Bàn, ğß¶ng nhö Toàn b¤t quá KhÑ, chï có th¬ Thung ğÕi lµ Tri®t Li­u……
68	ĞÕi vß½ng tr· v« núi LÕp!
69	Giªt chªt ti®t quan binh!
70	Ngß¶i nào dám ğªn S¤m TrÕi? Xem ta nhß thª nào thu th§p Nhî!
71	Có ngß¶i S¤m TrÕi, các huynh ğ® xét nhà Hoä LÕp!
72	Thiên vß½ng Cái Ğ¸a H±!
73	C¯ lên A!
